                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4431,                 3.5474,                 2.6466,                0.00421,                0.24187,                0.00378,                0.00112,                  3.391,                 3.6111,                 2.9045,             0.00065537,             0.00065537,             0.00065537
                      2,                 3.2121,                  3.326,                 2.4658,                0.00914,                0.03438,                0.00309,                0.00091,                 3.4283,                   3.85,                 2.8811,              0.0013089,              0.0013089,              0.0013089
                      3,                 3.2411,                 3.3085,                 2.4893,                0.00038,                 0.0221,                 0.0002,                  6e-05,                 3.9161,                 22.044,                 3.7062,              0.0019493,              0.0019493,              0.0019493
                      4,                 3.1993,                 3.2828,                 2.4751,                0.00369,                0.21179,                0.00315,                0.00084,                 3.5859,                 3.6343,                 3.1023,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.1432,                 3.2911,                 2.4421,                0.00291,                0.16697,                0.00222,                0.00062,                 3.5194,                 4.1291,                 2.8002,              0.0019406,              0.0019406,              0.0019406
                      6,                 3.1244,                 3.2988,                 2.4474,                0.00485,                0.26703,                0.00494,                0.00139,                 3.2148,                 3.4532,                 2.6938,              0.0019208,              0.0019208,              0.0019208
                      7,                 3.0928,                 3.2622,                 2.4671,                0.00507,                0.29098,                0.00535,                0.00135,                  3.179,                 3.5565,                 2.6577,               0.001901,               0.001901,               0.001901
                      8,                 3.0165,                 3.3123,                 2.4477,                0.00459,                0.22099,                0.00884,                0.00197,                 3.2259,                 3.6236,                   2.73,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.9909,                 3.2918,                 2.3819,                0.00883,                0.22161,                0.00493,                0.00141,                 3.2196,                 3.4235,                 2.6566,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.9626,                 3.2455,                 2.3971,                0.00481,                0.27624,                0.00852,                0.00246,                 3.1327,                 3.4307,                 2.8774,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.9446,                 3.2692,                 2.3905,                0.00412,                0.18232,                 0.0027,                0.00074,                 3.2398,                 4.1822,                 2.6477,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.9051,                 3.2568,                 2.3798,                0.00406,                0.22222,                0.00347,                0.00105,                 3.1433,                 3.5532,                 2.6305,               0.001802,               0.001802,               0.001802
                     13,                 2.8879,                 3.2821,                 2.3661,                0.00524,                0.29466,                 0.0061,                 0.0018,                 3.1098,                 3.3379,                 2.6692,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.8908,                 3.2199,                 2.3555,                0.00547,                 0.3143,                0.00768,                0.00229,                 3.0256,                 3.4392,                 2.6362,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.8865,                 3.2106,                 2.3507,                 0.0053,                0.29159,                0.00867,                0.00235,                 2.9533,                 3.3936,                 2.7182,              0.0017426,              0.0017426,              0.0017426
